"Title 
(Denotes new test case)","Type 
(Automated, Compatibility, Functional, Other, Performance, Functional)","Priority 
(Critical, High, Medium, Low)","Estimate
(1-59M in Min
1H + in Hours)",References (Link user stories or bugs),"Status
(Draft, Ready for Review, Final)","Owner
(FirstName LastName)","Objective
(Describe the Overall Objective this case is designed to achieve)","Preconditions
(List prerequisite conditions for this test case)",Steps (One step per row),Number,"Expected Result (Per step, Expected for whole test case list on last step)",Section
"Primary Lab does not accept Frame to Come, Primary Lab is Active, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set
Sequence 1 lab does accept Frame to Come, Primary Lab is Active",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - Frame to Come,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)","Account Setup
DNR: is unchecked

Set-up Primary Lab Facility Rules: 
General Tab:
Facility is Active is checked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Frame Tab:
Accept Frame to Come is unchecked

Set-up Associated Lab Facility Rules: 
General Tab:
Facility is Active is checked
Manufacturing Facility Offload Sequence Selection:
Schertz is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Frame Tab:
Accept Frame to Come is checked",83,,35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from,,,
"Primary Lab does not accept Frame to Come, Primary Lab is not Active, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set
Sequence 1 lab does accept Frame to Come, Primary Lab is Active",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - Frame to Come,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)","Account Setup
DNR: is unchecked

Set-up Primary Lab Facility Rules: 
General Tab:
Facility is Active is unchecked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity
Frame Tab:
Accept Frame to Come is unchecked

Set-up Secondary Lab Facility Rules: 
General Tab:
Facility is Active is checked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity
Frame Tab:
Accept Frame to Come is checked",84,"Primary Lab does not accept Frame to Come, Primary Lab is not Active, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from,,,
"Primary Lab does not accept SKU (w/o zeros), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - SKU,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)","Account Setup
DNR: is unchecked

Set-up Primary Lab Facilty Rules: 
General Tab:
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Frame Tab 
Add sku that is not accepted at Primary Lab
Supply Frame: checked",85,"Primary Lab does not accept SKU (w and w/o zeros), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to. ,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab is Down, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - Operational Status,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)","Account Setup
DNR: is unchecked

Set-up Primary Lab Facilty Rules:
General Tab:
Facility is Active is unchecked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity",87,"Primary Lab is Down, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab does not accept Service (Tint-Solid), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - Service,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)","Account Setup
DNR: is unchecked

Set-up Primary Lab Facilty Rules: 
General Tab:
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Service Coating Tab:
Tint - Solid is unchecked",88,"Primary Lab does not accept Service (Tint-Solid), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from,,,
"Primary Lab not below max WIP, Apply This Rule is checked, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - Maximum WIP,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)
Need to determine current WIP to set maximum WIP for this test case.","Account Setup
DNR: is unchecked

Set-up Primary Lab Facility Rules: 
General Tab:
Set the max WIP capacity @ ""X"" 
Apply This Rule is checked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity",89,"Primary Lab not below max WIP, Apply This Rule is checked, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab does not accept Combine 2 (Tint & CS), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - Combine 2,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)","Set-up Primary Lab Facilty Rules: 
General Tab:
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity
Service Coating Tab: 
Service: Tint 
Combine 1: UV
Accept is unchecked",90,"Primary Lab does not accept Combine 2 (Tint & CS), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab does not accept Combine 3 (Slab off, AR, UV), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - Combine 3,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)","Set-up Primary Lab Facilty Rules: 
General Tab:
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity
Service Coating Tab: 
Service: Add on Slab off
Combine 1: Coating AR
Combine 2: Coating UV
Accept check box is unchecked",91,"Primary Lab does not accept Combine 3 (Slab off, AR, UV), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab not below Daily Max, Apply this rule is checked, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - Daily Maximum ,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)
Need to determine what to set the maximum daily capacity for this test case.","Set-up Primary Lab Facilty Rules: 
General Tab:
Set the maximum daily receiving capacity to ""X""  Apply This Rule is checked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity
",92,"Primary Lab not below Daily Max, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab does not accept Lens Code (204040- 7X28 PGX), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - Lens Code,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)","Set-up Primary Lab Facilty Rules: 
General Tab:
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Lens Tab: 
Deselect the Accept check box for Lens Code: 205040, Lens Description: 7X28 PGX",93,"Primary Lab does not accept Lens Code (204040- 7X28 PGX), Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from,,,
"Primary Lab accepts Lens Type but not within the ranges, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Offload Capacity - RX Range,"Primary Lab: Schertz
Secondary Lab: Do Not Use
(See Setup Tab for details)","Set-up Primary Lab Facility Rules: 
General Tab:
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity
Under the Lens Tab: 
For Lens Code: 104062  ADAPT POLY set:  
Sph 1 From: -1.00 
Sph 1 To:  +1 .00
Set-up Secondary Lab Facility Rules:
Under Lens Tab:
For Lens Code: 104062  ADAPT POLY set:  
Sph 1 From: -2.00 
Sph 1 To:  +2 .00",94,"Primary Lab accepts Lens Type but not within the ranges, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35849
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab has DNR for Frame to Come, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Primary Lab DNR - Offload Capacity,"Primary Lab: Richland Hills
Secondary Lab: Do Not Use
(See Setup Tab for details)","Account Setup
DNR: is unchecked

Set-up Primary Lab Facilty Rules: 
Frame Tab:
Check Do No Reroute Frame to Come
General Tab:
Primary Lab Is Active
Accepts Union Jobs unchecked
Manufacturing Facility Offload Sequence Selection:
Schertz is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity",96,"Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
"Primary Lab has DNR SKU, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Primary Lab DNR - Offload Capacity,"Primary Lab: Richland HIlls
Secondary Lab: Do Not Use
(See Setup Tab for details)","Account Setup
DNR: is unchecked

Set-up Primary Lab Facilty Rules: 
Frame Tab:
Add sku to the Do Not Reroute these Frames
General Tab: 
Primary Lab Is Active
Accepts Union Jobs in unchecked
Manufacturing Facility Offload Sequence Selection:
Schertz is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity",100,"Primary Lab has DNR SKU, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
"Primary Lab has DNR Service (Tint-Solid), Is Active, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Primary Lab DNR - Offload Capacity,"Primary Lab: Richland Hills
Secondary Lab: Do Not Use
(See Setup Tab for details)","Account Setup
DNR: is unchecked

Set-up Primary Lab Facilty Rules: 
Service Coating Tab:
Check Do Not Reroute for Service: Tint Solid
Is Active is checked
General Tab:
Facility Is Active is Checked
Accept Union Job is Unchecked
Manufacturing Facility Offload Sequence Selection:
Schertz is selected as Sequence 1
Job Offload Capacity is set 20
Job Block Count is equal to Job Offload Capacity",104,"Primary Lab has DNR Service (Tint-Solid), Is Active, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab has DNR Service (Tint-Solid), Is Not Active, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15m,None,Final,Lisa Roselle,Primary Lab DNR - Offload Capacity,"Primary Lab: Richland Hills
Secondary Lab: Do Not Use
(See Setup Tab for details)","Account Setup
DNR: is unchecked

Set-up Primary Lab Facility Rules: 
General Tab:
Facility Is Active is checked
Accept Union Job is unchecked
Manufacturing Facility Offload Sequence Selection:
Schertz is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Service Coating Tab:
Check Do Not Reroute for Service: Tint Solid
Is Active is unchecked",108,"Primary Lab has DNR Service (Tint-Solid), Is Not Active, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary lab does not accept Lens Code within RX range, Richland Hills is set as Sequence 3 for Associated Labs and does not accept Lens Code within RX range",Functional,Critical,15m,None,Final,Lisa Roselle,Account Rules - Primary Lab w/Associated Lab (Seq 3),"Primary Lab: Schertz
Secondary Lab: Do Not Use
Associate Labs:
Sequence 1 is Syracuse, Sequence 2 is Test Location, Sequence 3 is Richland Hills, Sequence 4 is Test Location 2 ","Set-up Primary Lab Facility Rules: 
Account Set Up
Do Not Reroute must be unchecked.
General Tab:
Manufacturing Facility Offload Sequence Selection:
Syracuse is selected as Sequence 1
Test Location is selected as Sequence 2 
Richland Hills is selected as Sequence 3
Test Location 2 is selected as Sequence 4
Lens Tab:
Accept Uncut Job is checked
For Lens Code: 104062  ADAPT POLY set:  
Sph 1 From: +1.00 
Sph 1 To:  -1 .00

Set-up Associated Lab Facility Rules: 
Lens Tab:  Lens Code 104062 ADAPT POLY
Syracuse is unchecked
Richland Hills is checked
Lens Tab:
Accept Uncut Job is checked
For Lens Code 104062  ADAPT POLY set:  
Sph 1 From: +1.00 
Sph 1 To:  -1 .00
Test Location  is unchecked
Test Location 2  is unchecked",,"Primary lab does not accept Lens Code within RX range, Richland Hills is set as Sequence 3 for Associated Labs and does not accept Lens Code within RX range",35851
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,281,Under the Communication Tab Validate File Path: ,
"Primary lab does not accept Service (Tint - Solid), Richland Hills is set as Sequence 3 for Associated Labs and does accept Service (Tint - Solid)",Functional,Critical,15m,None,Final,Lisa Roselle,Account Rules - Primary Lab w/Associated Lab (Seq 3),"Primary Lab: Schertz
Secondary Lab: Do Not Use
Associate Labs:
Sequence 1 is Syracuse, Sequence 2 is Test Location, Sequence 3 is Richland Hills, Sequence 4 is Test Location 2 ","Set-up Primary Lab Facility Rules: 
Account Set Up
Do Not Reroute must be unchecked.
General Tab:
Manufacturing Facility Offload Sequence Selection:
Syracuse is selected as Sequence 1
Test Location is selected as Sequence 2 
Richland Hills is selected as Sequence 3
Test Location 2 is selected as Sequence 4
Service Tab:
Tint - Solid is unchecked

Set-up Associated Lab Facility Rules: 
Service Tab: Tint - Solid 
Syracuse is unchecked
Richland Hills is checked
Test Location  is unchecked
Test Location 2  is unchecked",282,"Primary lab does not accept Service (Tint - Solid), Richland Hills is set as Sequence 3 for Associated Labs and does accept Service (Tint - Solid)",35851
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
"Primary lab does not accept Service (Tint - Solid), Richland Hills is set as Sequence 3 for Associated Labs and does not accept Service (Tint - Solid)",Functional,Critical,15m,None,Final,Lisa Roselle,Account Rules - Primary Lab w/Associated Lab (Seq 3),"Primary Lab: Schertz
Secondary Lab: Do Not Use
Associate Labs:
Sequence 1 is Syracuse, Sequence 2 is Test Location, Sequence 3 is Richland Hills, Sequence 4 is Test Location 2 ","Set-up Primary Lab Facility Rules: 
Account Set Up
Do Not Reroute must be unchecked.
General Tab:
Manufacturing Facility Offload Sequence Selection:
Syracuse is selected as Sequence 1
Test Location is selected as Sequence 2 
Richland Hills is selected as Sequence 3
Test Location 2 is selected as Sequence 4
Service Tab:
Tint - Solid is unchecked

Set-up Associated Lab Facility Rules: 
Service Tab: Tint - Solid 
Syracuse is unchecked
Richland Hills is unchecked
Test Location  is unchecked
Test Location 2  is unchecked",283,"Primary lab does not accept Service (Tint - Solid), Richland Hills is set as Sequence 3 for Associated Labs and does not accept Service (Tint - Solid)",35851
,,,,,,,,,JSON Work Order,,INSERT ORDER HERE,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,"Enter RX Number, click Search",,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file,,Under the Communication Tab Validate File Path: ,
